"","Date","Individual","Foreigner","Institution"
"392","17.12.07","-448","-3,384","4,915"
"393","17.12.06","2,515","-3,383","371"
"394","17.12.05","-3,475","318","2,932"
"395","17.12.04","-2,582","1,472","882"
"396","17.12.01","1,405","-1,939","898"
"397","17.11.30","1,933","-6,000","3,705"
"398","17.11.29","-806","-1,621","2,025"
"399","17.11.28","-3,766","-1,639","2,037"
"400","17.11.27","4,534","-4,536","-470"
"401","17.11.24","-1,059","-1,105","1,773"
"402","17.11.23","-24","-757","419"
"403","17.11.22","-819","397","232"
"404","17.11.21","-5,085","3,916","983"
"405","17.11.20","899","2,151","-3,395"
"406","17.11.17","-1,419","5,489","-4,401"
"407","17.11.16","-798","2,862","-2,089"
"408","17.11.15","-369","-647","810"
"409","17.11.14","-1,290","-969","1,834"
"410","17.11.13","2,579","-642","-2,267"
"411","17.11.10","1,432","-1,889","169"
"412","17.11.09","2,090","-670","-1,853"
"413","17.11.08","617","540","-706"
"414","17.11.07","-740","2,444","-707"
"415","17.11.06","1,810","1,456","-3,681"
"416","17.11.03","-1,683","-1,476","2,724"
"417","17.11.02","1,546","-12","-1,952"
"418","17.11.01","-2,305","3,032","-1,144"
"419","17.10.31","-249","4,191","-3,958"
"420","17.10.30","2,620","2,517","-5,217"
"421","17.10.27","-130","965","-958"
"422","17.10.26","-363","-266","626"
"423","17.10.25","571","1,119","-1,661"
"424","17.10.24","684","-1,014","270"
"425","17.10.23","2,042","3,156","-6,174"
"426","17.10.20","-407","1,615","-1,751"
"427","17.10.19","-23","26","-152"
"428","17.10.18","-62","-320","-469"
"429","17.10.17","1,458","-515","-1,497"
"430","17.10.16","-717","-274","493"
"431","17.10.13","-1,135","-358","1,094"
"432","17.10.12","-548","2,440","-2,212"
"433","17.10.11","538","7,007","-5,339"
"434","17.10.10","-3,104","8,177","-5,619"
"435","17.09.29","-1,566","310","688"
"436","17.09.28","1,189","-1,291","-495"
"437","17.09.27","1,658","-2,808","407"
"438","17.09.26","-1,578","-3,852","5,065"
"439","17.09.25","225","-335","-408"
"440","17.09.22","451","254","-1,144"
"441","17.09.21","1,807","971","-2,009"
"442","17.09.20","858","-1,881","576"
"443","17.09.19","1,497","-1,434","-512"
"444","17.09.18","-1,615","2,196","-819"
"445","17.09.15","108","-881","674"
"446","17.09.14","1,922","-231","455"
"447","17.09.13","-606","-58","416"
"448","17.09.12","-52","-1,859","1,462"
"449","17.09.11","-2,332","-1,506","3,638"
"450","17.09.08","455","139","-834"
"451","17.09.07","-2,246","724","1,251"
"452","17.09.06","1,073","-3,253","1,755"
"453","17.09.05","-660","-2,133","2,429"
"454","17.09.04","-3,434","43","3,165"
"455","17.09.01","1,040","763","-2,178"
"456","17.08.31","1,277","-1,100","-548"
"457","17.08.30","-1,277","-676","1,848"
"458","17.08.29","2,089","-2,640","472"
"459","17.08.28","-923","-599","1,196"
"460","17.08.25","-1,668","-259","1,683"
"461","17.08.24","-1,720","172","1,208"
"462","17.08.23","742","1,091","-2,016"
"463","17.08.22","-1,688","659","885"
"464","17.08.21","508","-212","-779"
"465","17.08.18","539","62","-891"
"466","17.08.17","407","1,744","-2,306"
"467","17.08.16","1,572","-1,038","-670"
"468","17.08.14","-1,204","-2,582","3,586"
"469","17.08.11","-702","-5,862","6,225"
"470","17.08.10","-1,702","-2,258","4,279"
"471","17.08.09","-867","-2,563","3,052"
"472","17.08.08","431","917","-1,500"
"473","17.08.07","-402","933","-942"
"474","17.08.04","-947","-1,637","2,148"
"475","17.08.03","3,576","-4,027","102"
"476","17.08.02","73","1,356","-1,704"
"477","17.08.01","-1,750","-362","1,798"
"478","17.07.31","-2,606","-2,551","4,861"
"479","17.07.28","789","-5,599","4,822"
"480","17.07.27","-1,365","-2,083","3,589"
"481","17.07.26","-1,007","-3,551","4,599"
"482","17.07.25","635","-3,411","2,657"
"483","17.07.24","210","-1,683","1,441"
